player,pos,mlb,owner,status
Keider Montero,SP,DET,CS,ACTIVE
Shea Langeliers,C,ATH,CS,INJURED_RESERVE
Michael King,SP,SD,CS,ACTIVE
Michael Harris II,CF,ATL,CS,ACTIVE
Max Clark,CF,DET,CS,RESERVE
Andy Pages,CF,LAD,CS,INJURED_RESERVE
Andre Pallante,SP,STL,CS,ACTIVE
Mickey Gasper,C,BOS,CS,ACTIVE
Ryan Sloan,SP,SEA,CS,MINORS
Bryson Stott,2B,PHI,CS,ACTIVE
Maikel Garcia,3B,KC,CS,INJURED_RESERVE
Kyle Schwarber,DH,PHI,CS,ACTIVE
Ben Rice,1B,NYY,CS,ACTIVE
Trea Turner,SS,PHI,CS,ACTIVE
Geraldo Perdomo,SS,ARI,CS,RESERVE
Cristopher Sanchez,SP,PHI,CS,ACTIVE
Javier Sanoja,3B,MIA,CS,RESERVE
Ernie Clement,3B,TOR,CS,RESERVE
Manny Machado,3B,SD,CS,ACTIVE
Jesus Luzardo,SP,PHI,CS,RESERVE
Andrew Abbott,SP,CIN,CS,RESERVE
Cade Cavalli,SP,WSH,CS,ACTIVE
Henry Bolte,RF,ATH,CS,ACTIVE
Alec Bohm,3B,PHI,CS,ACTIVE
Walker Buehler,SP,SD,CS,RESERVE
Jeremy Pena,SS,HOU,CS,ACTIVE
Riley Greene,LF,DET,CH,ACTIVE
Zebby Matthews,SP,MIN,CH,ACTIVE
Roch Cholowsky,SS,CHW,CH,MINORS
Dean Kremer,SP,MIN,CH,ACTIVE
Gage Jump,SP,ATH,CH,ACTIVE
Zac Thornton,SP,NYM,CH,RESERVE
Garrett Crochet,SP,BOS,CH,INJURED_RESERVE
Eduardo Valencia,1B,DET,CH,RESERVE
Austin Riley,3B,ATL,CH,RESERVE
Bryce Eldridge,1B,SF,CH,ACTIVE
Franklin Arias,SS,BOS,CH,MINORS
Trevor Story,SS,BOS,CH,ACTIVE
A.J. Ewing,CF,NYM,CH,RESERVE
Brice Turang,2B,MIL,CH,ACTIVE
Jackson Merrill,CF,SD,CH,ACTIVE
Jac Caglianone,RF,KC,CH,RESERVE
Alex Bregman,3B,CHC,CH,ACTIVE
Andrew Painter,SP,PHI,CH,RESERVE
Cal Raleigh,C,SEA,CH,ACTIVE
Cooper Pratt,SS,MIL,CH,ACTIVE
Davis Martin,SP,CHW,CH,ACTIVE
Tarik Skubal,SP,LAD,CH,RESERVE
Ryan Jeffers,C,MIN,CH,ACTIVE
Emerson Hancock,SP,SEA,CH,INJURED_RESERVE
Patrick Sandoval,SP,BOS,CH,ACTIVE
Jarren Duran,LF,BOS,CH,ACTIVE
Brooks Lee,SS,MIN,BAMBI,RESERVE
Sam Antonacci,2B,CHW,BAMBI,ACTIVE
Cole Ragans,SP,KC,BAMBI,INJURED_RESERVE
Byron Buxton,CF,MIN,BAMBI,INJURED_RESERVE
Yoshinobu Yamamoto,SP,LAD,BAMBI,ACTIVE
Andrew Alvarez,SP,WSH,BAMBI,ACTIVE
Chandler Simpson,CF,TB,BAMBI,ACTIVE
Trey Yesavage,SP,TOR,BAMBI,INJURED_RESERVE
Kade Anderson,SP,SEA,BAMBI,RESERVE
Drake Baldwin,C,ATL,BAMBI,ACTIVE
Blake Snell,SP,LAD,BAMBI,RESERVE
Jose Altuve,2B,HOU,BAMBI,ACTIVE
Jordan Lawlar,3B,ARI,BAMBI,RESERVE
Eury Perez,SP,MIA,BAMBI,ACTIVE
Parker Messick,SP,CLE,BAMBI,ACTIVE
Bryce Harper,1B,PHI,BAMBI,ACTIVE
Seiya Suzuki,DH,CHC,BAMBI,ACTIVE
CJ Abrams,SS,WSH,BAMBI,ACTIVE
Eli Willits,SS,WSH,BAMBI,MINORS
Wyatt Langford,LF,TEX,BAMBI,ACTIVE
Joshua Baez,RF,STL,BAMBI,RESERVE
Adley Rutschman,C,BOS,BAMBI,RESERVE
Jonathan Aranda,1B,TB,BAMBI,RESERVE
Junior Caminero,3B,TB,BAMBI,ACTIVE
Jesus Made,SS,MIL,BAMBI,MINORS
Troy Melton,RP,DET,BAMBI,ACTIVE
Jackson Chourio,CF,MIL,BAMBI,ACTIVE
Shane Bieber,SP,TOR,MMM,INJURED_RESERVE
Sandy Alcantara,SP,MIA,MMM,RESERVE
Thomas Saggese,2B,STL,MMM,ACTIVE
Matt Olson,1B,ATL,MMM,RESERVE
Josh Jung,3B,TEX,MMM,ACTIVE
Dillon Dingler,C,DET,MMM,ACTIVE
Yordan Alvarez,LF,HOU,MMM,ACTIVE
Jake McCarthy,LF,COL,MMM,ACTIVE
Liam Hicks,C,TB,MMM,RESERVE
Kyle Tucker,RF,LAD,MMM,ACTIVE
Chris Sale,SP,ATL,MMM,RESERVE
Jacob Misiorowski,SP,MIL,MMM,ACTIVE
Gerrit Cole,SP,NYY,MMM,ACTIVE
Bryan Reynolds,RF,PIT,MMM,RESERVE
Josue De Paula,RF,LAD,MMM,ACTIVE
Jazz Chisholm Jr.,2B,NYY,MMM,INJURED_RESERVE
Jose Ramirez,3B,CLE,MMM,ACTIVE
Joe Ryan,SP,MIN,MMM,ACTIVE
Freddie Freeman,1B,LAD,MMM,ACTIVE
Hunter Brown,SP,HOU,MMM,RESERVE
Aaron Judge,RF,NYY,MMM,RESERVE
Cam Schlittler,SP,NYY,MMM,ACTIVE
Elly De La Cruz,SS,CIN,MMM,ACTIVE
Jacob deGrom,SP,TEX,MMM,ACTIVE
Zack Gelof,2B,ATH,LTTA,ACTIVE
Willson Contreras,1B,BOS,LTTA,INJURED_RESERVE
Kody Clemens,1B,MIN,LTTA,ACTIVE
Theo Gillen,CF,TB,LTTA,MINORS
Kyle Bradish,SP,BAL,LTTA,ACTIVE
Christian Yelich,DH,MIL,LTTA,ACTIVE
George Springer,RF,TOR,LTTA,RESERVE
Ivan Herrera,DH,STL,LTTA,ACTIVE
Christian Scott,SP,NYM,LTTA,ACTIVE
Esmerlyn Valdez,RF,PIT,LTTA,ACTIVE
Reid Detmers,RP,LAA,LTTA,RESERVE
Alec Burleson,1B,STL,LTTA,ACTIVE
Xavier Edwards,2B,MIA,LTTA,INJURED_RESERVE
George Kirby,SP,SEA,LTTA,ACTIVE
Yandy Diaz,DH,TB,LTTA,ACTIVE
Chase Meidroth,SS,CHW,LTTA,RESERVE
Shane Drohan,SP,MIL,LTTA,RESERVE
Spencer Arrighetti,SP,TOR,LTTA,ACTIVE
Zach Neto,SS,LAA,LTTA,ACTIVE
Mauricio Dubon,LF,ATL,LTTA,ACTIVE
Framber Valdez,SP,DET,LTTA,ACTIVE
